survey,last3letters,var_names,n_waves,which_waves,n_different_var_label,var_label_across_waves,n_different_value_labels,value_labels_across_waves,n_different_var_type,var_type_across_waves
Family & Household,019,cf08a019; cf09b019; cf10c019; cf11d019; cf12e019; cf13f019; cf14g019; cf15h019; cf16i019; cf17j019; cf18k019; cf19l019; cf20m019,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Do you know the postal code of your mother's address?,1,"c(yes = 1, no = 2, `my mother lives abroad` = 3, `my mother and I live at the same address` = 4)",1,categorical
Family & Household,020,cf08a020; cf09b020; cf10c020; cf11d020; cf12e020; cf13f020; cf14g020; cf15h020; cf16i020; cf17j020; cf18k020; cf19l020; cf20m020,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,How often did you see your father over the past 12 months?,1,"c(never = 1, once = 2, `a few times` = 3, `at least every month` = 4, `at least every week` = 5, `a few times per week` = 6, `every day` = 7)",1,categorical
Family & Household,021,cf08a021; cf09b021; cf10c021; cf11d021; cf12e021; cf13f021; cf14g021,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,"How often did you have contact with your father over the past 12 months, by telephone, in writing or by email?",1,"c(never = 1, once = 2, `a few times` = 3, `at least every month` = 4, `at least every week` = 5, `a few times per week` = 6, `every day` = 7)",1,categorical
Family & Household,022,cf08a022; cf09b022; cf10c022; cf11d022; cf12e022; cf13f022; cf14g022; cf15h022; cf16i022; cf17j022; cf18k022; cf19l022; cf20m022,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,How often did you see your mother over the past 12 months?,1,"c(never = 1, once = 2, `a few times` = 3, `at least every month` = 4, `at least every week` = 5, `a few times per week` = 6, `every day` = 7)",1,categorical
Family & Household,023,cf08a023; cf09b023; cf10c023; cf11d023; cf12e023; cf13f023; cf14g023,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,"How often did you have contact with your mother over the past 12 months, by telephone, in writing or by email?",1,"c(never = 1, once = 2, `a few times` = 3, `at least every month` = 4, `at least every week` = 5, `a few times per week` = 6, `every day` = 7)",1,categorical
Family & Household,024,cf08a024; cf09b024; cf10c024; cf11d024; cf12e024; cf13f024; cf14g024; cf15h024; cf16i024; cf17j024; cf18k024; cf19l024; cf20m024,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Do you currently have a partner?,1,"c(yes = 1, no = 2)",1,categorical
Family & Household,025,cf08a025; cf09b025; cf10c025; cf11d025; cf12e025; cf13f025; cf14g025; cf15h025; cf16i025; cf17j025; cf18k025; cf19l025; cf20m025,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Do you live together with this partner?,1,"c(yes = 1, no = 2)",1,categorical
Family & Household,026,cf08a026; cf09b026; cf10c026; cf11d026; cf12e026; cf13f026; cf14g026; cf15h026; cf16i026; cf17j026; cf18k026; cf19l026; cf20m026,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,What is his or her year of birth?,1,NULL,1,numeric
Family & Household,027,cf08a027; cf09b027; cf10c027; cf11d027; cf12e027; cf13f027; cf14g027; cf15h027; cf16i027; cf17j027; cf18k027; cf19l027; cf20m027,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,In which country was your partner born?,1,"c(Netherlands = 1, Turkey = 2, Morocco = 3, `Netherlands Antilles` = 4, Surinam = 5, Indonesia = 6, `other non-western country (Africa, Latin America, Asia other than Indonesia and Japan)` = 7, `other western country (Europe, North America, Japan, Oceania)` = 8)",1,categorical
Family & Household,028,cf08a028; cf09b028; cf10c028; cf11d028; cf12e028; cf13f028; cf14g028; cf15h028; cf16i028; cf17j028; cf18k028; cf19l028; cf20m028,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,In what year did the relationship with your partner begin?,1,NULL,1,numeric
Family & Household,029,cf08a029; cf09b029; cf10c029; cf11d029; cf12e029; cf13f029; cf14g029; cf15h029; cf16i029; cf17j029; cf18k029; cf19l029; cf20m029,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,In what year did you start living together with your partner?,1,NULL,1,numeric
Family & Household,030,cf08a030; cf09b030; cf10c030; cf11d030; cf12e030; cf13f030; cf14g030; cf15h030; cf16i030; cf17j030; cf18k030; cf19l030; cf20m030,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Are you married to this partner?,1,"c(yes = 1, no = 2)",1,categorical
Family & Household,031,cf08a031; cf09b031; cf10c031; cf11d031; cf12e031; cf13f031; cf14g031; cf15h031; cf16i031; cf17j031; cf18k031; cf19l031; cf20m031,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,In what year did you marry?,1,NULL,1,numeric
Family & Household,032,cf08a032; cf09b032; cf10c032; cf11d032; cf12e032; cf13f032; cf14g032; cf15h032; cf16i032; cf17j032; cf18k032; cf19l032; cf20m032,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,What is your partner's gender?,1,"c(male = 1, female = 2)",1,categorical
Family & Household,033,cf08a033; cf09b033; cf10c033; cf11d033; cf12e033; cf13f033; cf14g033; cf15h033; cf16i033; cf17j033; cf18k033; cf19l033; cf20m033,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Were you married to another partner before?,1,"c(yes = 1, no = 2)",1,categorical
Family & Household,034,cf08a034; cf09b034; cf10c034; cf11d034; cf12e034; cf13f034; cf14g034; cf15h034; cf16i034; cf17j034; cf18k034; cf19l034; cf20m034,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Did you separate or did your previous partner pass away?,1,"c(separated = 1, `partner passed away` = 2, `have experienced both` = 3)",1,categorical
Family & Household,035,cf08a035; cf09b035; cf10c035; cf11d035; cf12e035; cf13f035; cf14g035,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Have you had any children?,1,"c(yes = 1, no = 2)",1,categorical
Family & Household,036,cf08a036; cf09b036; cf10c036; cf11d036; cf12e036; cf13f036; cf14g036,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,How many children have you had in total?,1,NULL,1,numeric
Family & Household,037,cf08a037; cf09b037; cf10c037; cf11d037; cf12e037; cf13f037; cf14g037,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Birth year first child,1,NULL,1,numeric
Family & Household,038,cf08a038; cf09b038; cf10c038; cf11d038; cf12e038; cf13f038; cf14g038,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Birth year second child,1,NULL,1,numeric
Family & Household,039,cf08a039; cf09b039; cf10c039; cf11d039; cf12e039; cf13f039; cf14g039,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Birth year third child,1,NULL,1,numeric
Family & Household,040,cf08a040; cf09b040; cf10c040; cf11d040; cf12e040; cf13f040; cf14g040,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Birth year fourth child,1,NULL,1,numeric
Family & Household,041,cf08a041; cf09b041; cf10c041; cf11d041; cf12e041; cf13f041; cf14g041,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Birth year fifth child,1,NULL,1,numeric
Family & Household,042,cf08a042; cf09b042; cf10c042; cf11d042; cf12e042; cf13f042; cf14g042,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Birth year sixth child,1,NULL,1,numeric
Family & Household,043,cf08a043; cf09b043; cf10c043; cf11d043; cf12e043; cf13f043; cf14g043,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Birth year seventh child,1,NULL,1,numeric
Family & Household,044,cf08a044; cf09b044; cf10c044; cf11d044; cf12e044; cf13f044; cf14g044,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Birth year eighth child,1,NULL,1,numeric
Family & Household,045,cf08a045; cf09b045; cf10c045; cf11d045; cf12e045; cf13f045; cf14g045,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Birth year ninth child,1,NULL,1,numeric
Family & Household,046,cf08a046; cf09b046; cf10c046; cf11d046; cf12e046; cf13f046; cf14g046,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Birth year tenth child,1,NULL,1,numeric
Family & Household,047,cf08a047; cf09b047; cf10c047; cf11d047; cf12e047; cf13f047; cf14g047,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Birth year eleventh child,1,NULL,1,numeric
Family & Household,048,cf08a048; cf09b048; cf10c048; cf11d048; cf12e048; cf13f048; cf14g048,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Birth year twelfth child,1,NULL,1,numeric
Family & Household,049,cf08a049; cf09b049; cf10c049; cf11d049; cf12e049; cf13f049; cf14g049,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Birth year thirteenth child,1,NULL,1,numeric
Family & Household,050,cf08a050; cf09b050; cf10c050; cf11d050; cf12e050; cf13f050; cf14g050,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Birth year fourteenth child,1,NULL,1,numeric
Family & Household,051,cf08a051; cf09b051; cf10c051; cf11d051; cf12e051; cf13f051; cf14g051,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Birth year fifteenth child,1,NULL,1,numeric
Family & Household,052,cf08a052; cf09b052; cf10c052; cf11d052; cf12e052; cf13f052; cf14g052,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Are all your children still alive?,1,"c(yes = 1, no = 2)",1,categorical
Family & Household,053,cf08a053; cf09b053; cf10c053; cf11d053; cf12e053; cf13f053; cf14g053,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Passed away: first child,1,c(yes = 1),1,categorical
Family & Household,054,cf08a054; cf09b054; cf10c054; cf11d054; cf12e054; cf13f054; cf14g054,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Passed away: second child,1,c(yes = 1),1,categorical
Family & Household,055,cf08a055; cf09b055; cf10c055; cf11d055; cf12e055; cf13f055; cf14g055,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Passed away: third child,1,c(yes = 1),1,categorical
Family & Household,056,cf08a056; cf09b056; cf10c056; cf11d056; cf12e056; cf13f056; cf14g056,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Passed away: fourth child,1,c(yes = 1),1,categorical
Family & Household,057,cf08a057; cf09b057; cf10c057; cf11d057; cf12e057; cf13f057; cf14g057,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Passed away: fifth child,1,c(yes = 1),1,categorical
Family & Household,058,cf08a058; cf09b058; cf10c058; cf11d058; cf12e058; cf13f058; cf14g058,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Passed away: sixth child,1,c(yes = 1),1,categorical
Family & Household,059,cf08a059; cf09b059; cf10c059; cf11d059; cf12e059; cf13f059; cf14g059,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Passed away: seventh child,1,c(yes = 1),1,categorical
Family & Household,060,cf08a060; cf09b060; cf10c060; cf11d060; cf12e060; cf13f060; cf14g060,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Passed away: eighth child,1,c(yes = 1),1,categorical
Family & Household,061,cf08a061; cf09b061; cf10c061; cf11d061; cf12e061; cf13f061; cf14g061,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Passed away: ninth child,1,c(yes = 1),1,categorical
Family & Household,062,cf08a062; cf09b062; cf10c062; cf11d062; cf12e062; cf13f062; cf14g062,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Passed away: tenth child,1,c(yes = 1),1,categorical
Family & Household,063,cf08a063; cf09b063; cf10c063; cf11d063; cf12e063; cf13f063; cf14g063,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Passed away: eleventh child,1,c(yes = 1),1,categorical
Family & Household,064,cf08a064; cf09b064; cf10c064; cf11d064; cf12e064; cf13f064; cf14g064,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Passed away: twelfth child,1,c(yes = 1),1,categorical
Family & Household,065,cf08a065; cf09b065; cf10c065; cf11d065; cf12e065; cf13f065; cf14g065,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Passed away: thirteenth child,1,c(yes = 1),1,categorical
Family & Household,066,cf08a066; cf09b066; cf10c066; cf11d066; cf12e066; cf13f066; cf14g066,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Passed away: fourteenth child,1,c(yes = 1),1,categorical
Family & Household,067,cf08a067; cf09b067; cf10c067; cf11d067; cf12e067; cf13f067; cf14g067,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Passed away: fifteenth child,1,c(yes = 1),1,categorical
Family & Household,068,cf08a068; cf09b068; cf10c068; cf11d068; cf12e068; cf13f068; cf14g068; cf15h068; cf16i068; cf17j068; cf18k068; cf19l068; cf20m068,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Gender: first child,1,"c(boy = 1, girl = 2)",1,categorical
Family & Household,069,cf08a069; cf09b069; cf10c069; cf11d069; cf12e069; cf13f069; cf14g069; cf15h069; cf16i069; cf17j069; cf18k069; cf19l069; cf20m069,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Gender: second child,1,"c(boy = 1, girl = 2)",1,categorical
Family & Household,070,cf08a070; cf09b070; cf10c070; cf11d070; cf12e070; cf13f070; cf14g070; cf15h070; cf16i070; cf17j070; cf18k070; cf19l070; cf20m070,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Gender: third child,1,"c(boy = 1, girl = 2)",1,categorical
Family & Household,071,cf08a071; cf09b071; cf10c071; cf11d071; cf12e071; cf13f071; cf14g071; cf15h071; cf16i071; cf17j071; cf18k071; cf19l071; cf20m071,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Gender: fourth child,1,"c(boy = 1, girl = 2)",1,categorical
Family & Household,072,cf08a072; cf09b072; cf10c072; cf11d072; cf12e072; cf13f072; cf14g072; cf15h072; cf16i072; cf17j072; cf18k072; cf19l072; cf20m072,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Gender: fifth child,1,"c(boy = 1, girl = 2)",1,categorical
Family & Household,073,cf08a073; cf09b073; cf10c073; cf11d073; cf12e073; cf13f073; cf14g073; cf15h073; cf16i073; cf17j073; cf18k073; cf19l073; cf20m073,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Gender: sixth child,1,"c(boy = 1, girl = 2)",1,categorical
Family & Household,074,cf08a074; cf09b074; cf10c074; cf11d074; cf12e074; cf13f074; cf14g074; cf15h074; cf16i074; cf17j074; cf18k074; cf19l074; cf20m074,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Gender: seventh child,1,"c(boy = 1, girl = 2)",1,categorical
Family & Household,075,cf08a075; cf09b075; cf10c075; cf11d075; cf12e075; cf13f075; cf14g075; cf15h075; cf16i075; cf17j075; cf18k075; cf19l075; cf20m075,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Gender: eighth child,1,"c(boy = 1, girl = 2)",1,categorical
Family & Household,076,cf08a076; cf09b076; cf10c076; cf11d076; cf12e076; cf13f076; cf14g076; cf15h076; cf16i076; cf17j076; cf18k076; cf19l076; cf20m076,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Gender: ninth child,1,"c(boy = 1, girl = 2)",1,categorical
Family & Household,077,cf08a077; cf09b077; cf10c077; cf11d077; cf12e077; cf13f077; cf14g077; cf15h077; cf16i077; cf17j077; cf18k077; cf19l077; cf20m077,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Gender: tenth child,1,"c(boy = 1, girl = 2)",1,categorical
Family & Household,078,cf08a078; cf09b078; cf10c078; cf11d078; cf12e078; cf13f078; cf14g078; cf15h078; cf16i078; cf17j078; cf18k078; cf19l078; cf20m078,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Gender: eleventh child,1,"c(boy = 1, girl = 2)",1,categorical
Family & Household,079,cf08a079; cf09b079; cf10c079; cf11d079; cf12e079; cf13f079; cf14g079; cf15h079; cf16i079; cf17j079; cf18k079; cf19l079; cf20m079,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Gender: twelfth child,1,"c(boy = 1, girl = 2)",1,categorical
Family & Household,080,cf08a080; cf09b080; cf10c080; cf11d080; cf12e080; cf13f080; cf14g080; cf15h080; cf16i080; cf17j080; cf18k080; cf19l080; cf20m080,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Gender: thirteenth child,1,"c(boy = 1, girl = 2)",1,categorical
Family & Household,081,cf08a081; cf09b081; cf10c081; cf11d081; cf12e081; cf13f081; cf14g081; cf15h081; cf16i081; cf17j081; cf18k081; cf19l081; cf20m081,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Gender: fourteenth child,1,"c(boy = 1, girl = 2)",1,categorical
Family & Household,082,cf08a082; cf09b082; cf10c082; cf11d082; cf12e082; cf13f082; cf14g082; cf15h082; cf16i082; cf17j082; cf18k082; cf19l082; cf20m082,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Gender: fifteenth child,1,"c(boy = 1, girl = 2)",1,categorical
Family & Household,083,cf08a083; cf09b083; cf10c083; cf11d083; cf12e083; cf13f083; cf14g083; cf15h083; cf16i083; cf17j083; cf18k083; cf19l083; cf20m083,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Living at home or living independently: first child,1,"c(`living at home` = 1, `living independently` = 2)",1,categorical
